Time,Temperature (F),Temperature (K),Dewpoint Temperature (F),Dewpoint Temperature (K),Saturation Vapor Pressure (mb),Vapor Pressure (mb),RH,Constants,
01/29/2018 16:00:00,58,,18,,,,,e0,6.11
01/29/2018 15:00:00,57,,18,,,,,Lv,2500000
01/29/2018 14:00:00,55,,19,,,,,Rv,461
01/29/2018 13:00:00,50,,19,,,,,T0,273.15
01/29/2018 12:00:00,47,,21,,,,,,
01/29/2018 11:00:00,41,,22,,,,,,
01/29/2018 10:00:00,36,,20,,,,,,
01/29/2018 09:00:00,28,,19,,,,,,
01/29/2018 08:00:00,23,,15,,,,,,
01/29/2018 07:00:00,23,,15,,,,,,
01/29/2018 06:00:00,25,,15,,,,,,
01/29/2018 05:00:00,27,,15,,,,,,
01/29/2018 04:00:00,25,,14,,,,,,
01/29/2018 03:00:00,28,,14,,,,,,
01/29/2018 02:00:00,28,,13,,,,,,
01/29/2018 01:00:00,29,,13,,,,,,
01/29/2018 00:00:00,30,,12,,,,,,
01/28/2018 23:00:00,35,,13,,,,,,
01/28/2018 22:00:00,38,,9,,,,,,
01/28/2018 21:00:00,43,,9,,,,,,
01/28/2018 20:00:00,42,,9,,,,,,
01/28/2018 19:00:00,43,,9,,,,,,
01/28/2018 18:00:00,50,,9,,,,,,
01/28/2018 17:00:00,58,,5,,,,,,
01/28/2018 16:00:00,59,,4,,,,,,
01/28/2018 15:00:00,59,,7,,,,,,
01/28/2018 14:00:00,58,,7,,,,,,
01/28/2018 13:00:00,55,,9,,,,,,
01/28/2018 12:00:00,52,,9,,,,,,
01/28/2018 11:00:00,48,,11,,,,,,
01/28/2018 10:00:00,41,,11,,,,,,
01/28/2018 09:00:00,33,,9,,,,,,
01/28/2018 08:00:00,25,,7,,,,,,
01/28/2018 07:00:00,26,,8,,,,,,
01/28/2018 06:00:00,25,,7,,,,,,
01/28/2018 05:00:00,29,,7,,,,,,
01/28/2018 04:00:00,29,,7,,,,,,
01/28/2018 03:00:00,28,,7,,,,,,
01/28/2018 02:00:00,29,,6,,,,,,
01/28/2018 01:00:00,30,,6,,,,,,
01/28/2018 00:00:00,31,,5,,,,,,
01/27/2018 23:00:00,35,,5,,,,,,
01/27/2018 22:00:00,36,,5,,,,,,
01/27/2018 21:00:00,39,,6,,,,,,
01/27/2018 20:00:00,40,,6,,,,,,
01/27/2018 19:00:00,41,,5,,,,,,
01/27/2018 18:00:00,46,,4,,,,,,
01/27/2018 17:00:00,51,,3,,,,,,
01/27/2018 16:00:00,51,,4,,,,,,
01/27/2018 15:00:00,51,,4,,,,,,
01/27/2018 14:00:00,50,,9,,,,,,
01/27/2018 13:00:00,48,,12,,,,,,
01/27/2018 12:00:00,45,,15,,,,,,
01/27/2018 11:00:00,40,,21,,,,,,
01/27/2018 10:00:00,34,,22,,,,,,
01/27/2018 09:00:00,27,,20,,,,,,
01/27/2018 08:00:00,24,,18,,,,,,
01/27/2018 07:00:00,23,,18,,,,,,
01/27/2018 06:00:00,24,,19,,,,,,
01/27/2018 05:00:00,26,,20,,,,,,
01/27/2018 04:00:00,28,,21,,,,,,
01/27/2018 03:00:00,28,,21,,,,,,
01/27/2018 02:00:00,28,,21,,,,,,
01/27/2018 01:00:00,30,,22,,,,,,
01/27/2018 00:00:00,34,,23,,,,,,
01/26/2018 23:00:00,36,,23,,,,,,
01/26/2018 22:00:00,40,,23,,,,,,
01/26/2018 21:00:00,43,,22,,,,,,
01/26/2018 20:00:00,48,,17,,,,,,
01/26/2018 19:00:00,54,,6,,,,,,
01/26/2018 18:00:00,58,,4,,,,,,
01/26/2018 17:00:00,63,,3,,,,,,
