type,UTCday,UTChour,LAT,LON,windKTS,windMPH
INIT,03,0900,18.7,61.4,35,40
INIT,03,2100,19.3,63.2,45,50
INIT,04,0900,19.5,64.9,45,50
INIT,04,2100,20.0,65.2,45,50
INIT,05,0900,20.9,65.3,45,50
INIT,05,2100,22.2,65.2,55,65
INIT,06,0900,23.4,65.4,55,65
INIT,06,2100,24.1,65.8,60,70
INIT,07,0900,25.3,65.9,70,80
INIT,07,2100,26.5,65.5,75,85
INIT,08,0900,28.2,65.4,90,105
INIT,08,2100,30.3,64.4,85,100
INIT,09,0900,32.7,62.4,85,100
INIT,09,2100,35.9,58.7,90,105
INIT,10,0900,41.2,53.5,90,105
INIT,10,2100,43.6,52.6,75,85
12H,11,0600,44.3,52.0,65,75
24H,11,1800,44.8,51.4,55,65
36H,12,0600,45.0,50.8,45,50
48H,12,1800,44.9,49.8,40,45
60H,13,0600,44.7,47.3,40,45
72H,13,1800,44.7,44.4,40,45
96H,14,1800,45.5,40.0,35,40
120H,15,1800,47.5,36.5,35,40
